date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:31	2532/2532	U-----	200	untouched ('')	application/javascript	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/js/jquery.easing.min.js	C:/My%20Web%20Sites/swap/qingswap.com/js/jquery.easing.min.js	(from https://qingswap.com/)
09:48:31	14814/14814	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2006%20Jun%202023%2009:48:31%20GMT	https://qingswap.com/risk-warning.php	C:/My%20Web%20Sites/swap/qingswap.com/risk-warning.html	(from https://qingswap.com/)
09:48:31	3697/3697	U-----	200	untouched ('')	application/javascript	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/js/scrollIt.js	C:/My%20Web%20Sites/swap/qingswap.com/js/scrollIt.js	(from https://qingswap.com/)
09:48:31	67413/67413	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2006%20Jun%202023%2009:48:31%20GMT	https://qingswap.com/terms-of-services.php	C:/My%20Web%20Sites/swap/qingswap.com/terms-of-services.html	(from https://qingswap.com/)
09:48:46	2035/2035	U-----	200	untouched ('')	application/javascript	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/js/jquery.scrollUp.min.js	C:/My%20Web%20Sites/swap/qingswap.com/js/jquery.scrollUp.min.js	(from https://qingswap.com/)
09:48:47	2942/2942	U-----	200	untouched ('')	application/javascript	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/js/nice-select.min.js	C:/My%20Web%20Sites/swap/qingswap.com/js/nice-select.min.js	(from https://qingswap.com/)
09:48:47	8415/8415	U-----	200	untouched ('')	application/javascript	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/js/jquery.slicknav.min.js	C:/My%20Web%20Sites/swap/qingswap.com/js/jquery.slicknav.min.js	(from https://qingswap.com/)
09:48:47	42863/42863	U-----	200	untouched ('')	application/javascript	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/js/slick.min.js	C:/My%20Web%20Sites/swap/qingswap.com/js/slick.min.js	(from https://qingswap.com/)
09:48:48	3552/3552	U-----	200	untouched ('')	application/javascript	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/js/jquery.animatedheadline.min.js	C:/My%20Web%20Sites/swap/qingswap.com/js/jquery.animatedheadline.min.js	(from https://qingswap.com/)
09:48:48	996/996	U-----	200	untouched ('')	application/javascript	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/js/date-time.js	C:/My%20Web%20Sites/swap/qingswap.com/js/date-time.js	(from https://qingswap.com/)
09:48:49	42766/42766	U-----	200	untouched ('')	application/javascript	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/js/owl.carousel.min.js	C:/My%20Web%20Sites/swap/qingswap.com/js/owl.carousel.min.js	(from https://qingswap.com/)
09:48:54	9498/9498	U-----	200	untouched ('')	application/javascript	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/js/bundle.js	C:/My%20Web%20Sites/swap/qingswap.com/js/bundle.js	(from https://qingswap.com/)
